MsgID.GLOBAL_POSITION,0.0000000,-122.3957533,37.7932811,-0.0700000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,19.5160000,-0.0566683,-0.1662306,0.0708810
MsgID.LOCAL_VELOCITY,19.5160000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957528,37.7932820,-0.0740000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,19.7660000,0.0435522,-0.1266494,0.0747373
MsgID.LOCAL_VELOCITY,19.7660000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957514,37.7932816,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957503,37.7932818,-0.0760000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,20.0160000,0.0222482,0.0947879,0.0768056
MsgID.LOCAL_VELOCITY,20.0160000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957503,37.7932821,-0.0780000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,20.2670000,0.0573539,0.0994755,0.0780646
MsgID.LOCAL_VELOCITY,20.2670000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957521,37.7932817,-0.0780000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,20.5170000,0.0133037,-0.0645199,0.0784690
MsgID.LOCAL_VELOCITY,20.5170000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957525,37.7932818,-0.0760000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,20.7660000,0.0215239,-0.1005620,0.0767879
MsgID.LOCAL_VELOCITY,20.7660000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957514,37.7932816,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957502,37.7932829,-0.0700000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,21.0160000,0.1386958,0.1040079,0.0705930
MsgID.LOCAL_VELOCITY,21.0160000,0.0000166,-0.0000050,0.0000390
MsgID.GLOBAL_POSITION,0.0000000,-122.3957506,37.7932816,-0.0560000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,21.2660000,-0.0057755,0.0723120,0.0567957
MsgID.LOCAL_VELOCITY,21.2660000,-0.0000030,-0.0000065,0.0000030
MsgID.GLOBAL_POSITION,0.0000000,-122.3957496,37.7932804,-0.0330000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,21.5160000,-0.1315427,0.1641713,0.0334622
MsgID.LOCAL_VELOCITY,21.5160000,-0.0000083,0.0000040,-0.0000100
MsgID.GLOBAL_POSITION,0.0000000,-122.3957500,37.7932804,-0.0020000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,21.7670000,-0.1345824,0.1238347,0.0026438
MsgID.LOCAL_VELOCITY,21.7670000,-0.0000075,0.0000000,-0.0000497
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957528,37.7932801,0.0310000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,22.0170000,-0.1555182,-0.0778646,-0.0313142
MsgID.LOCAL_VELOCITY,22.0170000,-0.0000037,0.0000123,0.0000101
MsgID.GLOBAL_POSITION,0.0000000,-122.3957514,37.7932813,0.0640000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,22.2670000,-0.0269764,0.0476879,-0.0642988
MsgID.LOCAL_VELOCITY,22.2670000,0.0000084,0.0000035,0.0000053
MsgID.GLOBAL_POSITION,0.0000000,-122.3957503,37.7932817,0.0930000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,22.5160000,0.0218727,0.1461390,-0.0930815
MsgID.LOCAL_VELOCITY,22.5160000,-0.0000069,-0.0000113,0.0000268
MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7932827,0.1150000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,22.7670000,0.1365870,0.0355393,-0.1156048
MsgID.LOCAL_VELOCITY,22.7670000,0.0000015,0.0000027,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957498,37.7932826,0.1310000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,23.0170000,0.1241305,0.1869308,-0.1311716
MsgID.LOCAL_VELOCITY,23.0170000,0.0000002,0.0000085,0.0000580
MsgID.GLOBAL_POSITION,0.0000000,-122.3957509,37.7932814,0.1400000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,23.2670000,-0.0154384,0.0906529,-0.1403228
MsgID.LOCAL_VELOCITY,23.2670000,0.0000103,-0.0000141,0.0000071
MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7932816,0.1440000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,23.5170000,0.0154699,0.0326005,-0.1440329
MsgID.LOCAL_VELOCITY,23.5170000,0.0000060,-0.0000108,0.0000072
MsgID.GLOBAL_POSITION,0.0000000,-122.3957528,37.7932817,0.1430000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,23.7660000,0.0196026,-0.0808966,-0.1431951
MsgID.LOCAL_VELOCITY,23.7660000,0.0000039,0.0000210,-0.0000332
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957535,37.7932813,0.1380000
